Year,Month,ReturnPct
1871,2,7.21
1871,3,8.22
1871,4,8.46
1871,5,8.02
1871,6,4.53
1871,7,3.53
1871,8,6.77
1871,9,6.47
1871,10,0.21
1871,11,6.75
1871,12,7.76
1872,1,8.02
1872,2,5.97
1872,3,8.81
1872,4,8.13
1872,5,5.41
1872,6,4.44
1872,7,4.87
1872,8,4.51
1872,9,3.97
1872,10,6.26
1872,11,5.63
1872,12,8.48
1873,1,6.71
1873,2,6.85
1873,3,5.24
1873,4,4.7
1873,5,6.35
1873,6,4.95
1873,7,6.22
1873,8,6.44
1873,9,-1.21
1873,10,-1.53
1873,11,4.3
1873,12,17.57
1874,1,12.9
1874,2,10.09
1874,3,5.42
1874,4,4.23
1874,5,4.57
1874,6,6.92
1874,7,7.4
1874,8,7.62
1874,9,8.95
1874,10,7.05
1874,11,8.17
1874,12,6.56
1875,1,7.27
1875,2,7.05
1875,3,8.39
1875,4,8.28
1875,5,3.01
1875,6,5.15
1875,7,7.31
1875,8,7.52
1875,9,6.12
1875,10,5.49
1875,11,8.6
1875,12,6.86
1876,1,8.92
1876,2,8.07
1876,3,6.42
1876,4,2.88
1876,5,3.23
1876,6,6.46
1876,7,6.02
1876,8,3.17
1876,9,1.53
1876,10,7.59
1876,11,6.27
1876,12,7.78
1877,1,7.26
1877,2,1.97
1877,3,2.99
1877,4,0.95
1877,5,8.5
1877,6,1.36
1877,7,13.19
1877,8,15.09
1877,9,13.44
1877,10,8.64
1877,11,4.53
1877,12,5.52
1878,1,5.85
1878,2,3.69
1878,3,7.86
1878,4,8.64
1878,5,6.01
1878,6,7.78
1878,7,7.33
1878,8,4.31
1878,9,7.25
1878,10,3.98
1878,11,4.89
1878,12,4.61
1879,1,8.99
1879,2,8.66
1879,3,3.5
1879,4,8.49
1879,5,9.55
1879,6,5.33
1879,7,6.82
1879,8,5.45
1879,9,8.6
1879,10,15.64
1879,11,9.62
1879,12,3.85
1880,1,8.13
1880,2,5.87
1880,3,6.15
1880,4,1.89
1880,5,-3.47
1880,6,5.24
1880,7,9.6
1880,8,8.38
1880,9,4.62
1880,10,7.72
1880,11,10.13
1880,12,8.73
1881,1,10.62
1881,2,4.04
1881,3,5.67
1881,4,4.17
1881,5,9.16
1881,6,5.69
1881,7,1.06
1881,8,2.36
1881,9,5.81
1881,10,3.36
1881,11,5.85
1881,12,2.26
1882,1,3.83
1882,2,3.21
1882,3,5.35
1882,4,5.54
1882,5,4.33
1882,6,5.08
1882,7,11.27
1882,8,8.33
1882,9,6.15
1882,10,2.4
1882,11,0.99
1882,12,6.02
1883,1,4.97
1883,2,3.27
1883,3,6.87
1883,4,7.65
1883,5,3.75
1883,6,6.59
1883,7,4.12
1883,8,1.22
1883,9,7.13
1883,10,3.25
1883,11,7.62
1883,12,3.85
1884,1,3.18
1884,2,9.07
1884,3,5.83
1884,4,1.51
1884,5,-1.78
1884,6,2.8
1884,7,7.17
1884,8,13.45
1884,9,3.59
1884,10,3.49
1884,11,4.95
1884,12,6.9
1885,1,4.61
1885,2,10.14
1885,3,6.86
1885,4,6.39
1885,5,5.26
1885,6,6.02
1885,7,10.0
1885,8,11.43
1885,9,4.25
1885,10,11.18
1885,11,11.59
1885,12,3.82
1886,1,4.62
1886,2,6.54
1886,3,2.45
1886,4,3.08
1886,5,2.54
1886,6,9.16
1886,7,5.9
1886,8,5.07
1886,9,6.89
1886,10,6.53
1886,11,6.37
1886,12,1.21
1887,1,2.84
1887,2,3.41
1887,3,6.5
1887,4,6.35
1887,5,5.69
1887,6,1.19
1887,7,1.75
1887,8,1.79
1887,9,3.12
1887,10,1.3
1887,11,6.73
1887,12,4.15
1888,1,5.5
1888,2,4.14
1888,3,0.95
1888,4,5.12
1888,5,6.08
1888,6,1.55
1888,7,7.39
1888,8,6.81
1888,9,7.05
1888,10,3.72
1888,11,2.24
1888,12,2.48
1889,1,6.42
1889,2,5.53
1889,3,2.26
1889,4,4.24
1889,5,7.14
1889,6,6.02
1889,7,2.03
1889,8,5.47
1889,9,6.52
1889,10,2.18
1889,11,3.15
1889,12,3.55
1890,1,5.26
1890,2,2.97
1890,3,3.38
1890,4,6.25
1890,5,8.35
1890,6,3.2
1890,7,3.23
1890,8,1.62
1890,9,2.4
1890,10,-0.38
1890,11,-2.95
1890,12,2.34
1891,1,10.0
1891,2,5.79
1891,3,2.65
1891,4,7.9
1891,5,4.02
1891,6,2.42
1891,7,2.89
1891,8,7.97
1891,9,12.58
1891,10,4.13
1891,11,2.63
1891,12,7.24
1892,1,5.91
1892,2,4.17
1892,3,5.25
1892,4,3.94
1892,5,4.13
1892,6,3.59
1892,7,4.15
1892,8,5.6
1892,9,1.78
